,tweet_id,favorites,retweets
934,703382836347330562,3799,1274
935,703407252292673536,2663,773
936,703425003149250560,4124,1541
937,703611486317502464,4184,1692
938,703631701117943808,2814,764
939,703769065844768768,3575,1258
940,703774238772166656,2000,518
941,704054845121142784,3171,1018
942,704113298707505153,2012,627
943,704347321748819968,1703,390
944,704364645503647744,8712,3957
945,704480331685040129,3679,1184
946,704499785726889984,3179,1113
947,704761120771465216,7192,3224
948,704819833553219584,2865,1123
949,704847917308362754,5534,1708
950,704859558691414016,2436,605
951,704871453724954624,4566,1240
952,705066031337840642,2346,676
953,705102439679201280,2325,577
954,705223444686888960,2792,890
955,705239209544720384,3243,839
956,705428427625635840,4138,1910
957,705442520700944385,4815,1837
958,705475953783398401,3202,1034
959,705591895322394625,3430,1292
960,705786532653883392,2103,589
961,705898680587526145,2568,632
962,705970349788291072,3402,999
963,705975130514706432,3356,829
964,706166467411222528,5559,1793
965,706265994973601792,2939,1020
966,706291001778950144,1837,517
967,706310011488698368,23215,8903
968,706346369204748288,3729,1029
969,706516534877929472,3361,1143
970,706538006853918722,3733,1568
971,706593038911545345,2333,708
972,706644897839910912,2788,1217
973,706681918348251136,3586,1083
974,706901761596989440,2241,672
975,707014260413456384,2483,658
976,707021089608753152,4389,1531
977,707038192327901184,2375,893
978,707059547140169728,2767,751
979,707297311098011648,2983,897
980,707315916783140866,2669,720
981,707377100785885184,3557,1199
982,707387676719185920,3798,1470
983,707411934438625280,2457,668
984,707420581654872064,2463,776
985,707610948723478529,18371,7151
986,707693576495472641,3710,1113
987,707741517457260545,2687,688
988,707776935007539200,3543,1062
989,707969809498152960,2915,1081
990,707995814724026368,3348,1257
991,708026248782585858,4725,2145
992,708109389455101952,2094,603
993,708119489313951744,2900,1091
994,708130923141795840,3659,932
995,708149363256774660,4599,1712
996,708349470027751425,2525,824
997,708356463048204288,3896,1505
998,708469915515297792,3319,914
999,708479650088034305,2736,756
1000,708711088997666817,2753,816
1001,708738143638450176,2956,904
1002,708810915978854401,17840,7744
1003,708834316713893888,1832,560
1004,708845821941387268,3199,998
1005,709042156699303936,5146,1839
1006,709158332880297985,2207,465
1007,709198395643068416,2605,710
1008,709207347839836162,13613,6490
1009,709225125749587968,2585,639
1010,709409458133323776,2825,774
1011,709449600415961088,2397,658
1012,709519240576036864,1599,272
1013,709556954897764353,3548,1191
1014,709566166965075968,3812,1353
1015,709852847387627521,3781,1322
1016,709901256215666688,726,110
1017,709918798883774466,3215,1201
1018,710117014656950272,5942,2212
1019,710140971284037632,2984,988
1020,710153181850935296,3126,994
1021,710269109699739648,2584,1242
1022,710272297844797440,4880,1404
1023,710283270106132480,2286,574
1024,710588934686908417,4914,2086
1025,710658690886586372,2494,628
1026,710833117892898816,2905,599
1027,710844581445812225,2747,770
1028,710997087345876993,4912,1548
1029,711008018775851008,3233,698
1030,711306686208872448,3560,809
1031,711363825979756544,3950,1274
1032,711652651650457602,4174,1027
1033,711694788429553666,35476,20252
1034,711732680602345472,9650,4584
1035,711743778164514816,3064,1093
1036,711968124745228288,8686,2570
1037,711998809858043904,0,138
1038,712065007010385924,2427,696
1039,712085617388212225,3487,548
1040,712092745624633345,3171,1005
1041,712097430750289920,4096,1161
1042,712438159032893441,5741,1734
1043,712668654853337088,4492,1353
1044,712717840512598017,13330,5537
1045,712809025985978368,20136,7493
1046,713175907180089344,4805,1611
1047,713177543487135744,7772,3143
1048,713411074226274305,4740,1429
1049,713761197720473600,5248,1532
1050,713900603437621249,3033,824
1051,713919462244790272,3518,861
1052,714141408463036416,4629,1550
1053,714214115368108032,2447,976
1054,714251586676113411,3527,935
1055,714258258790387713,3243,799
1056,714606013974974464,3896,1027
1057,714631576617938945,3517,1111
1058,714957620017307648,4452,1573
1059,714982300363173890,4045,1149
1060,715009755312439296,4499,1381
1061,715200624753819648,5515,2085
1062,715220193576927233,2594,730
1063,715342466308784130,3256,761
1064,715360349751484417,5888,1746
1065,715680795826982913,4668,1796
1066,715696743237730304,4208,1435
1067,715733265223708672,5036,1894
1068,715928423106027520,3447,978
1069,716080869887381504,5238,1924
1070,716285507865542656,3001,1210
1071,716439118184652801,2546,245
1072,716791146589110272,5160,1464
1073,716802964044845056,4586,1300
1074,717009362452090881,3533,1088
1075,717047459982213120,6761,2115
1076,717421804990701568,3406,934
1077,717537687239008257,6215,2044
1078,717790033953034240,3131,1256
1079,717841801130979328,2636,661
1080,718234618122661888,4171,1112
1081,718246886998687744,2083,560
1082,718454725339934721,5254,1670
1083,718460005985447936,2906,598
1084,718540630683709445,2690,1123
1085,718613305783398402,2638,533
1086,718631497683582976,20475,8975
1087,718939241951195136,5655,1947
1088,718971898235854848,3767,1216
1089,719332531645071360,3675,1060
1090,719339463458033665,4757,1382
1091,719367763014393856,2993,817
1092,719551379208073216,5453,2154
1093,719704490224398336,4918,1615
1094,719991154352222208,5220,1946
1095,720043174954147842,5279,2222
1096,720059472081784833,4190,1255
1097,720340705894408192,3087,1082
1098,720389942216527872,6907,2798
1099,720415127506415616,4454,1653
1100,720775346191278080,2674,749
1101,720785406564900865,3362,853
1102,721001180231503872,2718,682
1103,721503162398597120,5037,2097
1104,722613351520608256,5342,1813
1105,722974582966214656,4437,1736
1106,723179728551723008,5705,2080
1107,723673163800948736,3257,994
1108,723688335806480385,8354,3300
1109,723912936180330496,4195,1359
1110,724004602748780546,4511,1761
1111,724046343203856385,2871,613
1112,724049859469295616,4680,1963
1113,724405726123311104,5728,1823
1114,724771698126512129,2559,712
1115,724983749226668032,3996,1442
1116,725729321944506368,5592,1979
1117,725786712245440512,4480,1507
1118,725842289046749185,7613,2939
1119,726224900189511680,4755,1287
1120,726828223124897792,3832,1116
1121,726887082820554753,4145,1665
1122,726935089318363137,7431,2712
1123,727175381690781696,4169,1524
1124,727286334147182592,3283,912
1125,727314416056803329,3587,827
1126,727524757080539137,4832,1363
1127,727644517743104000,6366,1934
1128,727685679342333952,3165,706
1129,728015554473250816,4430,1210
1130,728035342121635841,4908,1852
1131,728046963732717569,4663,1306
1132,728387165835677696,3956,1064
1133,728409960103686147,5316,2239
1134,728653952833728512,3581,1160
1135,728751179681943552,3010,751
1136,728760639972315136,5035,1888
1137,728986383096946689,3419,901
1138,729113531270991872,2034,365
1139,729463711119904772,6274,2557
1140,729823566028484608,4311,1376
1141,729838605770891264,1840,425
1142,729854734790754305,4352,1243
1143,730196704625098752,5287,2144
1144,730211855403241472,4127,1170
1145,730427201120833536,3762,1162
1146,730573383004487680,5337,2405
1147,730924654643314689,6616,2208
1148,731156023742988288,4142,1415
1149,731285275100512256,3764,1083
1150,732005617171337216,16163,6073
1151,732375214819057664,8744,2798
1152,732585889486888962,3980,855
1153,732726085725589504,3814,989
1154,732732193018155009,2645,595
1155,733109485275860992,44167,17374
1156,733460102733135873,4553,1430
1157,733482008106668032,3401,1055
1158,733822306246479872,3977,1131
1159,733828123016450049,3883,866
1160,734776360183431168,2708,606
1161,734787690684657664,13589,7024
1162,734912297295085568,2955,571
1163,735137028879360001,3385,1081
1164,735256018284875776,3639,978
1165,735274964362878976,9499,4651
1166,735635087207878657,6703,2628
1167,735648611367784448,4346,1224
1168,735991953473572864,3896,1274
1169,736010884653420544,8565,3310
1170,736225175608430592,8792,3077
1171,736365877722001409,4331,1393
1172,736736130620620800,4680,1948
1173,737310737551491075,15882,8255
1174,737322739594330112,3909,895
1175,737445876994609152,11178,4988
1176,737678689543020544,5463,1497
1177,737800304142471168,10837,3857
1178,737826014890496000,5698,1981
1179,738156290900254721,2741,740
1180,738166403467907072,9528,3799
1181,738184450748633089,4674,1345
1182,738402415918125056,3551,944
1183,738537504001953792,5515,1744
1184,738883359779196928,3629,906
1185,738885046782832640,4084,1268
1186,739238157791694849,74329,51723
1187,739485634323156992,7799,3273
1188,739544079319588864,43221,24001
1189,739606147276148736,5850,1852
1190,739844404073074688,4099,949
1191,739932936087216128,4397,1202
1192,739979191639244800,21656,6617
1193,740214038584557568,7243,2190
